Date,Close/Last,Volume,Open,High,Low
03/02/2023,82.338,N/A,82.35,82.40,82.237
03/01/2023,82.552,N/A,82.43,82.603,82.42
02/28/2023,82.534,N/A,82.64,82.645,82.365
02/27/2023,82.697,N/A,82.642,82.735,82.652
02/26/2023,82.933,N/A,82.897,82.948,82.834
02/24/2023,82.925,N/A,82.59,83.025,82.618
02/23/2023,82.724,N/A,82.59,82.742,82.618
02/22/2023,82.774,N/A,82.83,82.835,82.733
02/21/2023,82.808,N/A,82.844,82.867,82.79
02/20/2023,82.775,N/A,82.693,82.799,82.691
02/19/2023,82.674,N/A,82.75,82.765,82.643
02/17/2023,82.765,N/A,82.71,82.867,82.703
02/16/2023,82.792,N/A,82.71,82.845,82.703
02/15/2023,82.831,N/A,82.91,82.963,82.793
02/14/2023,82.858,N/A,82.91,82.963,82.839
02/13/2023,82.683,N/A,82.592,82.683,82.577
02/12/2023,82.745,N/A,82.51,82.772,82.52
02/10/2023,82.535,N/A,82.511,82.64,82.338
02/09/2023,82.57,N/A,82.511,82.64,82.535
02/08/2023,82.629,N/A,82.65,82.675,82.547
02/07/2023,82.638,N/A,82.86,82.87,82.602
02/06/2023,82.737,N/A,82.74,82.802,82.64
02/03/2023,82.233,N/A,82.039,82.315,81.754
02/02/2023,82.21,N/A,82.039,82.235,82.044
02/01/2023,81.775,N/A,81.73,81.861,81.685
01/31/2023,81.808,N/A,81.739,81.842,81.746
01/30/2023,81.67,N/A,81.52,81.69,81.525
01/27/2023,81.515,N/A,81.418,81.677,81.445
01/26/2023,81.619,N/A,81.418,81.677,81.445
01/25/2023,81.513,N/A,81.491,81.57,81.453
01/24/2023,81.545,N/A,81.594,81.679,81.477
01/23/2023,81.668,N/A,81.478,81.697,81.423
01/22/2023,81.078,N/A,80.979,81.092,80.884
01/20/2023,80.987,N/A,81.24,81.305,80.983
01/19/2023,81.24,N/A,81.24,81.305,81.119
01/18/2023,81.312,N/A,81.44,81.448,81.207
01/17/2023,81.74,N/A,81.63,81.827,81.635
01/16/2023,81.787,N/A,81.628,81.886,81.656
01/15/2023,81.321,N/A,81.28,81.336,81.197
01/13/2023,81.28,N/A,81.10,81.522,81.11
01/12/2023,81.43,N/A,81.10,81.445,81.11
01/11/2023,81.666,N/A,81.637,81.685,81.577
01/10/2023,81.778,N/A,81.602,81.817,81.573
01/09/2023,82.222,N/A,82.17,82.312,82.145
01/08/2023,82.309,N/A,82.27,82.385,82.179
01/06/2023,82.275,N/A,82.568,82.785,82.275
01/05/2023,82.60,N/A,82.568,82.632,82.457
01/04/2023,82.792,N/A,82.641,82.808,82.667
01/03/2023,82.837,N/A,82.774,82.874,82.778
01/02/2023,82.737,N/A,82.745,82.772,82.663
01/01/2023,82.59,N/A,82.717,82.744,82.565
12/30/2022,82.748,N/A,82.758,82.825,82.539
12/29/2022,82.767,N/A,82.758,82.825,82.69
12/28/2022,82.803,N/A,82.736,82.854,82.754
12/27/2022,82.858,N/A,82.83,82.87,82.787
12/26/2022,82.738,N/A,82.65,82.76,82.655
12/25/2022,82.822,N/A,82.78,82.839,82.775
12/23/2022,82.79,N/A,82.96,82.985,82.751
12/22/2022,82.845,N/A,82.96,82.985,82.751
12/21/2022,82.743,N/A,82.88,82.885,82.671
12/20/2022,82.689,N/A,82.60,82.776,82.61
12/19/2022,82.775,N/A,82.649,82.796,82.582
12/18/2022,82.726,N/A,82.706,82.825,82.707
12/16/2022,82.733,N/A,82.843,82.895,82.626
12/15/2022,82.854,N/A,82.843,82.865,82.736
12/14/2022,82.629,N/A,82.474,82.668,82.495
12/13/2022,82.648,N/A,82.375,82.715,82.402
12/12/2022,82.675,N/A,82.634,82.759,82.615
12/11/2022,82.625,N/A,82.41,82.656,82.42
12/09/2022,82.42,N/A,82.28,82.507,82.086
12/08/2022,82.195,N/A,82.28,82.338,82.142
12/07/2022,82.32,N/A,82.204,82.375,82.216
12/06/2022,82.493,N/A,82.48,82.775,82.417
12/05/2022,82.282,N/A,81.89,82.345,81.90
12/04/2022,81.442,N/A,81.41,81.445,81.20
12/02/2022,81.438,N/A,81.12,81.527,81.084
12/01/2022,81.175,N/A,81.12,81.187,81.084
11/30/2022,81.124,N/A,81.359,81.374,80.985
11/29/2022,81.618,N/A,81.616,81.65,81.555
11/28/2022,81.61,N/A,81.64,81.67,81.549
11/27/2022,81.733,N/A,81.685,81.838,81.673
11/25/2022,81.713,N/A,81.613,81.747,81.442
11/24/2022,81.519,N/A,81.613,81.689,81.467
11/23/2022,81.705,N/A,81.604,81.755,81.614
11/22/2022,81.767,N/A,81.714,81.83,81.716
11/21/2022,81.747,N/A,81.699,81.777,81.645
11/18/2022,81.644,N/A,81.51,81.788,81.519
11/17/2022,81.525,N/A,81.51,81.54,81.525
11/16/2022,81.495,N/A,81.061,81.574,81.091
11/15/2022,81.483,N/A,81.061,81.574,81.091
11/14/2022,81.358,N/A,80.965,81.448,80.992
11/13/2022,81.075,N/A,80.477,81.13,80.505
11/11/2022,80.505,N/A,80.63,80.991,80.483
11/10/2022,80.815,N/A,80.63,80.909,80.535
11/09/2022,81.596,N/A,81.335,81.665,81.355
11/08/2022,81.565,N/A,81.37,81.612,81.304
11/07/2022,81.962,N/A,81.804,81.965,81.832
11/06/2022,82.149,N/A,81.962,82.261,81.982
11/04/2022,81.976,N/A,82.731,82.74,81.97
11/03/2022,82.681,N/A,82.731,82.74,82.59
11/02/2022,82.865,N/A,82.712,82.925,82.74
11/01/2022,82.667,N/A,82.65,82.714,82.609
10/31/2022,82.78,N/A,82.77,82.825,82.692
10/30/2022,82.341,N/A,82.261,82.415,82.269
10/28/2022,82.268,N/A,82.368,82.507,82.268
10/27/2022,82.32,N/A,82.368,82.423,82.295
10/26/2022,82.272,N/A,81.901,82.272,81.928
10/25/2022,82.445,N/A,82.515,82.538,82.445
10/24/2022,82.63,N/A,82.744,82.761,82.60
10/21/2022,82.546,N/A,82.82,83.096,82.546
10/20/2022,82.82,N/A,82.82,82.918,82.789
10/19/2022,83.037,N/A,83.013,83.08,82.955
10/18/2022,82.335,N/A,82.291,82.355,82.29
10/17/2022,82.127,N/A,82.171,82.242,82.113
10/16/2022,82.349,N/A,82.34,82.413,82.31
10/14/2022,82.367,N/A,82.172,82.446,82.118
10/13/2022,82.167,N/A,82.172,82.285,82.14
10/12/2022,82.29,N/A,82.159,82.345,82.176
10/11/2022,82.314,N/A,82.256,82.35,82.267
10/10/2022,82.385,N/A,82.37,82.502,82.326
10/09/2022,82.495,N/A,82.82,82.832,82.475
10/07/2022,82.832,N/A,82.06,82.832,82.088
10/06/2022,82.225,N/A,82.06,82.356,82.088
10/05/2022,81.648,N/A,81.631,81.663,81.486
10/04/2022,81.466,N/A,81.451,81.525,81.457
10/03/2022,81.512,N/A,81.494,81.685,81.469
10/02/2022,81.792,N/A,81.509,81.795,81.511
09/30/2022,81.522,N/A,81.461,81.72,81.155
09/29/2022,81.528,N/A,81.461,81.72,81.478
09/28/2022,81.6604,N/A,81.6604,81.808,81.332
09/27/2022,81.8208,N/A,81.8208,81.946,81.709
09/26/2022,81.36,N/A,81.36,81.631,81.358
09/25/2022,81.4625,N/A,81.4625,81.525,81.23
09/23/2022,81.2364,N/A,81.2364,81.483,80.777
09/22/2022,81.1094,N/A,81.1094,81.27,80.992
09/21/2022,80.3954,N/A,80.3954,80.449,79.937
09/20/2022,79.807,N/A,79.807,80.037,79.685
09/19/2022,79.6705,N/A,79.6705,79.888,79.607
09/18/2022,79.7002,N/A,79.7002,79.958,79.65
09/16/2022,79.6896,N/A,79.6896,80.014,79.344
09/15/2022,79.8115,N/A,79.8115,80.014,79.787
09/14/2022,79.4865,N/A,79.4865,79.74,79.451
09/13/2022,79.5775,N/A,79.5775,79.831,79.525
09/12/2022,79.3125,N/A,79.3125,79.583,79.287
09/11/2022,79.667,N/A,79.667,79.788,79.574
09/09/2022,79.6714,N/A,79.6714,79.938,79.452
09/08/2022,79.6405,N/A,79.6405,79.938,79.599
09/07/2022,79.7225,N/A,79.7225,79.98,79.63
09/06/2022,79.8935,N/A,79.8935,80.133,79.83
09/05/2022,79.8277,N/A,79.8277,80.055,79.728
09/04/2022,79.8243,N/A,79.8243,79.95,79.712
09/02/2022,79.7223,N/A,79.7223,80.102,79.613
09/01/2022,79.6815,N/A,79.6815,79.73,79.614
08/31/2022,79.6521,N/A,79.6521,79.838,79.487
08/30/2022,79.545,N/A,79.545,79.707,79.507
08/29/2022,79.886,N/A,79.886,80.216,79.873
08/28/2022,79.9905,N/A,79.9905,80.207,79.955
08/26/2022,79.9593,N/A,79.9593,80.134,79.716
08/25/2022,79.8215,N/A,79.8215,80.023,79.731
08/24/2022,79.8165,N/A,79.8165,80.023,79.731
08/23/2022,79.8438,N/A,79.8438,79.885,79.796
08/22/2022,79.8735,N/A,79.8735,79.91,79.646
08/19/2022,79.918,N/A,79.918,80.138,79.695
08/18/2022,79.7326,N/A,79.7326,80.002,79.695
08/17/2022,79.6436,N/A,79.6436,79.685,79.343
08/16/2022,79.3065,N/A,79.3065,79.435,79.145
08/15/2022,79.5755,N/A,79.5755,79.802,79.511
08/14/2022,79.655,N/A,79.655,79.696,79.565
08/12/2022,79.6289,N/A,79.6289,79.948,79.547
08/11/2022,79.6425,N/A,79.6425,79.871,79.585
08/10/2022,79.285,N/A,79.285,79.354,79.066
08/09/2022,79.5365,N/A,79.5365,79.842,79.518
08/08/2022,79.4759,N/A,79.4759,79.602,79.474
08/07/2022,79.4831,N/A,79.4831,79.67,79.366
08/05/2022,79.6475,N/A,79.6475,79.648,78.912
08/04/2022,79.0045,N/A,79.0045,79.467,78.912
08/03/2022,79.3985,N/A,79.3985,79.439,79.049
08/02/2022,78.7569,N/A,78.7569,78.897,78.581
08/01/2022,78.9379,N/A,78.9379,79.193,78.922
07/31/2022,79.1633,N/A,79.1633,79.43,79.115
07/29/2022,79.195,N/A,79.195,79.75,79.176
07/28/2022,79.4146,N/A,79.4146,79.75,79.382
07/27/2022,79.8275,N/A,79.8275,80.058,79.68
07/26/2022,79.8695,N/A,79.8695,80.074,79.779
07/25/2022,79.7798,N/A,79.7798,79.79,79.706
07/24/2022,79.8475,N/A,79.8475,80.145,79.781
07/22/2022,79.877,N/A,79.877,80.143,79.763
07/21/2022,79.8952,N/A,79.8952,80.143,79.763
07/20/2022,79.9996,N/A,79.9996,80.296,79.962
07/19/2022,79.935,N/A,79.935,80.172,79.847
07/18/2022,79.926,N/A,79.926,80.249,79.864
07/17/2022,79.7695,N/A,79.7695,80.075,79.714
07/15/2022,79.7206,N/A,79.7206,80.147,79.703
07/14/2022,79.9365,N/A,79.9365,80.147,79.854
07/13/2022,79.7655,N/A,79.7655,79.808,79.649
07/12/2022,79.5795,N/A,79.5795,79.758,79.466
07/11/2022,79.5522,N/A,79.5522,79.595,79.436
07/10/2022,79.3148,N/A,79.3148,79.356,79.118
07/08/2022,79.3325,N/A,79.3325,79.426,79.138
07/07/2022,79.2265,N/A,79.2265,79.248,79.138
07/06/2022,78.9545,N/A,78.9545,79.106,78.885
07/05/2022,79.2305,N/A,79.2305,79.41,79.155
07/01/2022,78.9509,N/A,78.9509,79.217,78.677
06/30/2022,79.1065,N/A,79.1065,79.217,78.948
06/29/2022,78.9286,N/A,78.9286,79.129,78.874
06/28/2022,78.952,N/A,78.952,79.091,78.773
06/27/2022,78.5295,N/A,78.5295,78.578,78.437
06/26/2022,78.2993,N/A,78.2993,78.465,78.202
06/24/2022,78.2525,N/A,78.2525,78.372,78.125
06/23/2022,78.2187,N/A,78.2187,78.372,78.125
06/22/2022,78.2446,N/A,78.2446,78.479,78.167
06/21/2022,78.14,N/A,78.14,78.407,78.061
06/20/2022,78.0105,N/A,78.0105,78.214,77.92
06/19/2022,77.9162,N/A,77.9162,78.245,77.895
06/17/2022,77.9617,N/A,77.9617,78.247,77.938
06/16/2022,78.034,N/A,78.034,78.247,77.953
06/15/2022,78.0343,N/A,78.0343,78.265,77.894
06/14/2022,77.9945,N/A,77.9945,78.273,77.945
06/13/2022,78.017,N/A,78.017,78.364,78.008
06/12/2022,78.2025,N/A,78.2025,78.407,78.142
06/10/2022,78.1778,N/A,78.1778,78.199,77.763
06/09/2022,77.815,N/A,77.815,78.074,77.763
06/08/2022,77.7321,N/A,77.7321,78.024,77.677
06/07/2022,77.6775,N/A,77.6775,77.95,77.625
06/06/2022,77.7075,N/A,77.7075,78.066,77.635
06/05/2022,77.6403,N/A,77.6403,77.893,77.596
06/03/2022,77.6943,N/A,77.6943,77.736,77.371
06/02/2022,77.4825,N/A,77.4825,77.68,77.371
06/01/2022,77.6075,N/A,77.6075,77.87,77.556
05/31/2022,77.6011,N/A,77.6011,77.942,77.561
05/30/2022,77.5385,N/A,77.5385,77.87,77.477
05/29/2022,77.487,N/A,77.487,77.87,77.481
05/27/2022,77.6922,N/A,77.6922,77.90,77.507
05/26/2022,77.6175,N/A,77.6175,77.90,77.537
05/25/2022,77.5209,N/A,77.5209,77.745,77.453
05/24/2022,77.5215,N/A,77.5215,77.77,77.476
05/23/2022,77.5566,N/A,77.5566,77.598,77.502
05/22/2022,77.6715,N/A,77.6715,77.974,77.649
05/20/2022,77.8186,N/A,77.8186,78.123,77.388
05/19/2022,77.5285,N/A,77.5285,77.655,77.388
05/18/2022,77.675,N/A,77.675,78.04,77.656
05/17/2022,77.5002,N/A,77.5002,77.626,77.351
05/16/2022,77.7026,N/A,77.7026,78.024,77.656
